,name,low grade,high grade,E,M,H,Private,18-19 Report,17-18 Report,District Code,School Code,PPIN,NCES,Logo,Address1,Address2,Phone,Website,Mission,Report1,Report2,Affiliation,Num Students,Economically Disadvantaged,Curriculum Focus,Percent Choice Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21st Century Preparatory School,K4,8,1,1,,,1,,8110,0100,,550004502575,21stcentury.jpg,1220 Mound Ave.,"Racine, WI 53404",(262) 598-0026,https://www.21stprepschool.org/,"21st Century prepares diverse children for access to the full array of life choices, including college and careers that develop their leadership competency. We take individual differences seriously and craft practices that serve each child equally well. We mold our future leaders through selfless caring for their success.",21st_Century_Preparatory_School_2018-19.PDF,,"Public, Independent charter school",543,81.6,"STEM, gifted and talented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bull Early Education Center,K4,PK,1,,,,1,,4620,0114,,,Bull.jpg,815 DeKoven Avenue,"Racine, WI 53403",(262) 664-8200,www.rusd.org/beec,Bull Early Education (BEE) specializes in developmentally appropriate practice for 3- and 4-year-old children. We differentiate student instruction so that the play-based inquiry time engages students throughout their day. Self-regulation is the number one skill children need to be prepared for 5-Year-Old Kindergarten. BEE Center staff focuses on this by utilizing the research-based best practices in the Pyramid Model.,,,"Public, Racine Unified",Not Available,Not available,"Kindergarten readiness, special education, Dual-language, Parent-Child Oriented Classroom ((P-COC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,J. I. Case High School,9,12,,,1,,1,,4620,0491,,551236001621,Case.jpg,7345 Washington Avenue ,"Racine, WI 53406",(262) 619-4200,https://www.rusd.org/case,"To provide a positive environment and instruction of the highest quality to ensure that all students have the opportunity to acquire the knowledge, skills, and attributes they will need to become productive citizens of the world.",Case_High_2018-19.PDF,,"Public, Racine Unified",1783,53.5,"International Baccalaureate (IB), RUSD Academies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CERT School,12,12,,,1,1,1,,4620,1698,,,CERT.jpg,1437 Marquette St.,"Racine, WI 53404",(262)880-4811,http://www.greatlakesccc.org/,"CERT School prepares students to lead in emergency situations with the skills and knowledge that will protect the lives of those whom they care about most. Throughout the process, young adults who previously left or had been pushed out of a traditional school system without a diploma learn a wide range of occupations and acquire middle-skill credentials to perform a variety of duties.",CERT_School_2018-19.PDF,,"Private, Independent",3,100,"Industry certifications, licenses and credentials for high-demand occupations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Concordia Lutheran School,K4,8,1,1,,1,0,,4620,0441,,,Concordialutheran.jpg,8500 Durand Avenue,"Sturtevant, WI 53177",262-884-0991,http://www.concordialutheranschool.net/,Concordia Lutheran School exists for the purpose of “Bringing Christ and excellence in academics to our children for life and forever.”,,,"Private, Lutheran – Missouri Synod",180,41.7,"Academic, Religious",58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EverGreen Academy,K4,8,1,1,,,2,,4620,1681,A1504102,,Evergreenacademylogo (1).jpg,"Grades 4K-5
3351 Chicory Road
Grades 6–8
3554 Taylor Ave","
Mt. Pleasant, WI 53403
Elmwood Park, WI 53405",(262) 456-1079,http://www.evergreen.k12.wi.us,"Each child will be known, valued, challenged, and each day will be in an environment of happiness, joy, and excitement that will generate within them a desire to come to school each day.",EverGreen_Academy_2018-19.PDF,,"Private, Independent ",351,76.6,Academic,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fratt Elementary,K4,5,1,,,,1,,4620,0118,,551236001611,Fratt.jpg,3501 Kinzie Ave,"Racine, WI 53405",(262) 664-8150,https://www.rusd.org/fratt,Provide a variety of academic and educational experiences that promote student growth and learning throughout the year.,Fratt_Elementary_2018-19.PDF,,"Public, Racine Unified",432,81.7,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,W. C. Giese Elementary School,K4,5,1,,,,1,,4620,0121,,551236001614,Giese.jpg,5120 Byrd Ave,"Racine, WI 53406",(262) 664-8250,https://www.rusd.org/giese,Provide a nurturing climate of high expectations that foster student mastery of the learning goals and objectives defined in the District's curriculum.,Giese_Elementary_2018-19.PDF,,"Public, Racine Unified",268,83.6,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Gifford Elementary School,K4,8,1,1,,,1,,4620,0119,,551236002311,Gifford.jpg,8332 Northwestern Ave,"Racine, WI 53406",(262) 619-4550,https://www.rusd.org/gifford,Provide a positive school climate/culture in order to achieve academic success.,Gifford_Elementary_2018-19.PDF,,"Public, Racine Unified",1615,28.9,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Gilmore Fine Arts K-8 School,K5,8,1,1,,,1,,4620,0106,,551236001608,Gilmore.jpg,2330 Northwestern Ave,"Racine, WI 53404",(262) 664-6800,https://www.rusd.org/gilmore,Provide rich learning experiences to help students and their parents have a positive experience in the program,Gilmore_Fine_Arts_School_2018-19.PDF,,"Public, Racine Unified",741,57,"Academic, Fine Arts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
